,,,,,,2025,,,,,,,
Gastos,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,
Visa ICBC," $550,000 "," $1,000,000 "," $600,000 "," $430,000 "," $380,000 "," $800,000 "," $900,000 "," $850,000 "," $850,000 "," $1,000,000 "," $650,000 "," $1,450,000 ",
Master ICBC," $300,000 "," $350,000 "," $450,000 "," $440,000 "," $1,050,000 "," $800,000 "," $750,000 "," $540,000 "," $500,000 "," $2,250,000 "," $570,000 "," $700,000 ",
BBVA," $282,000 "," $280,135 "," $280,500 "," $289,000 "," $289,000 "," $289,000 "," $285,300 "," $284,700 "," $285,000 "," $284,000 "," $282,000 "," $276,500 ",
Nacion," $147,000 "," $310,050 "," $87,000 "," $76,000 "," $110,000 "," $175,000 "," $127,000 "," $168,000 "," $175,000 "," $188,300 "," $223,000 "," $71,840 ",
M Pago," $30,000 "," $77,500 "," $83,000 "," $83,000 "," $146,000 "," $83,000 "," $163,000 "," $210,000 "," $140,262 "," $175,000 ",,,
Fibertel,," $18,500 "," $18,500 "," $18,500 "," $18,000 "," $18,000 "," $20,000 "," $18,000 "," $17,000 "," $20,000 "," $20,000 "," $20,000 ",
Credito ICBC," $60,000 "," $60,000 "," $60,000 "," $60,000 "," $60,000 "," $60,000 "," $60,000 "," $150,000 "," $155,000 "," $155,000 "," $155,000 "," $97,000 ",
credito ANSES," $67,000 "," $67,000 "," $67,000 "," $67,000 "," $67,000 "," $67,000 "," $67,000 "," $67,000 "," $67,000 "," $67,000 "," $67,000 "," $67,000 ",
Fibertel Baradero,,,," $7,500 ",,,,,, PAPA ," $(300,000)",,
Personal," $54,000 "," $58,000 "," $59,000 "," $60,000 "," $60,000 "," $62,000 "," $66,000 "," $62,000 "," $64,000 "," $67,000 "," $68,440 "," $69,980 ",
GAS,,,,,,,,," $54,700 "," $57,753 ",,,
Maximo,,,,,," $80,000 "," $300,000 "," $120,000 ",," $120,000 "," $81,000 ",,
seguro de vida," $12,000 "," $12,000 "," $12,000 "," $12,000 "," $12,000 "," $12,000 "," $12,000 "," $12,000 "," $12,000 "," $19,000 "," $19,000 "," $19,000 ",
Acciones+Bonos+Cedear+Cryptos,," $190,000 "," $300,000 "," $250,000 ",,,,,,,,,
Foetra," $75,000 "," $75,000 "," $75,000 "," $75,000 "," $75,000 "," $75,000 "," $75,000 "," $75,000 "," $75,000 "," $75,000 "," $75,000 "," $75,000 ",
Alquiler," $315,000 "," $390,000 "," $346,000 "," $300,000 ",,,,,,,, $- ,
Luz y Gas Nela," $9,400 ",,,,,,,,,, Muni Patente ," $150,000 ",
gym,," $22,000 "," $22,000 "," $22,000 "," $22,000 "," $25,000 ",,," $28,000 "," $30,000 "," $65,000 "," $38,000 ",
MT-03,,,,,,,,,,," $385,500 "," $385,500 ",
ropa,,,,,,,,,,,,,
seguro libra,," $25,000 "," $25,000 "," $22,000 "," $36,000 "," $22,000 "," $22,000 "," $22,000 "," $22,000 "," $23,000 "," $23,000 "," $23,000 ",
Viaje Egresado," $12,608 "," $12,608 "," $12,608 "," $12,608 "," $12,608 "," $12,608 "," $12,608 ",,,,,,
credicoop,,,,,,,,,,,,,
Total,"$1,914,008","$2,947,793","$2,497,608","$2,224,608","$2,337,608","$2,580,608","$2,859,908","$2,578,700","$2,444,962","$4,531,053","$2,383,940","$3,442,820",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
